nom_clean,nom_gare,x,y,Trafic,Ville
LESHALLES,Les Halles,651995.4564,6862674.8091,17509498,Paris
LESSABLONS,Les Sablons (Jardin d'acclimatation),646586.9079,6864821.1041,6396994,Neuilly Sur Seine
LIBERTE,Liberté,656445.3488,6858607.5005,2631382,Charenton
LIEGE,Liège,650643.5277,6864611.9937,1795368,Paris
LOUISBLANC,Louis Blanc,653470.1684,6864772.1908,2439575,Paris
LOUISEMICHEL,Louise Michel,647796.9264,6865645.6998,3807962,Levallois-Perret
LOURMEL,Lourmel,647351.9234,6860118.0595,2424947,Paris
LOUVRERIVOLI,Louvre-Rivoli,651659.1352,6862509.6962,2617507,Paris
MABILLON,Mabillon,651240.5212,6861647.0174,1963879,Paris
MADELEINE,Madeleine,650498.1966,6863552.9304,7088856,Paris
MAIRIEDECLICHY,Mairie de Clichy,649119.3873,6867260.1725,7105379,Clichy
MAIRIEDEMONTREUIL,Mairie de Montreuil,659011.4336,6862578.7337,8182788,Montreuil
MAIRIEDEMONTROUGE,Mairie de Montrouge,650051.0907,6857838.6019,7081319,Montrouge
MAIRIEDESLILAS,Mairie des Lilas,657204.3492,6864573.8589,4817603,Les Lilas
MAIRIEDESTOUEN,Mairie de Saint-Ouen,651180.0871,6868202.6512,4641862,Saint Ouen
MAIRIEDISSY,Mairie d'Issy,646627.8252,6858472.7468,4473140,Issy Les Moulineaux
MAIRIEDIVRY,Mairie d'Ivry,654729.8271,6856957.6392,3351677,Ivry
MAISONBLANCHE,Maison Blanche,652898.4845,6858233.0223,1974306,Paris
MAISONSALFORTLESJUILLIOTTES,Maisons-Alfort-Les Juilliottes,659377.3049,6855982.3601,1905384,Maisons -Alfort
MAISONSALFORTSTADE,Maisons-Alfort-Stade,658470.4404,6856712.2781,2465520,Maisons -Alfort
MALAKOFFPLATEAUDEVANVES,Malakoff-Plateau de Vanves,648492.7655,6858286.7117,3718080,Malakoff
MALAKOFFRUEETIENNEDOLET,Malakoff-Rue Étienne Dolet,648383.7762,6857478.6018,2140693,Malakoff
MALESHERBES,Malesherbes,649328.8075,6864985.5498,2628908,Paris
MARAICHERS,Maraîchers,656419.7092,6861573.3159,2788149,Paris
MARCADETPOISSONNIERS,Marcadet-Poissonniers,652320.2944,6865908.132,5285526,Paris
MARCELSEMBAT,Marcel Sembat,644494.2278,6859560.7019,5958354,Boulogne Billancourt
MARXDORMOY,Marx Dormoy,653071.5478,6865798.4225,3616802,Paris
MAUBERTMUTUALITE,Maubert-Mutualité,652158.9045,6861318.0602,2349339,Paris
MENILMONTANT,Ménilmontant,654765.838,6863151.1043,4359581,Paris
MICHELANGEAUTEUIL,Michel Ange-Auteuil,645994.7057,6861124.0745,2175029,Paris
MICHELANGEMOLITOR,Michel Ange-Molitor,645820.2672,6860810.1786,2298330,Paris
MICHELBIZOT,Michel Bizot,656130.969,6859839.9191,2009808,Paris
MIRABEAU,Mirabeau,646631.0122,6861033.1517,1422224,Paris
MIROMESNIL,Miromesnil,649727.2457,6863960.9825,6391877,Paris
MONCEAU,Monceau,649355.6855,6864713.7086,1804353,Paris
MONTGALLET,Montgallet,655237.5024,6860657.5602,1690677,Paris
MONTPARNASSEBIENVENUE,Montparnasse-Bienvenüe,650186.4248,6860442.3044,30646580,Paris
MOUTONDUVERNET,Mouton-Duvernet,650794.4816,6859215.1047,1645671,Paris
NATION,Nation,655642.3274,6861007.0198,8638165,Paris
NATIONALE,Nationale,653229.9171,6859428.9054,2970029,Paris
NOTREDAMEDELORETTE,Notre-Dame-de-Lorette,651436.9357,6864204.0114,2943066,Paris
NOTREDAMEDESCHAMPS,Notre-Dame-des-Champs,650739.5063,6860753.4255,2146424,Paris
OBERKAMPF,Oberkampf,653665.5406,6862921.5946,4580340,Paris
ODEON,Odéon,651549.9234,6861564.8032,5905175,Paris
OLYMPIADES,Olympiades,653604.5847,6858764.7361,7306272,Paris
OPERA,Opéra,651029.8713,6863591.4421,11175606,Paris
OURCQ,Ourcq,655045.7743,6865410.1669,4089055,Paris
PALAISROYALMUSEEDULOUVRE,Palais Royal-Musée du Louvre,651322.2057,6862683.9581,9648312,Paris
PARMENTIER,Parmentier,654118.8397,6862984.2509,3283276,Paris
PASSY,Passy,647598.9541,6862171.635,4124316,Paris
PASTEUR,Pasteur,649565.6646,6860511.5692,5217986,Paris
PELLEPORT,Pelleport,656100.7414,6863323.2148,371005,Paris
PEREIRE,Pereire-Levallois,648500.0697,6865215.7477,4804340,Paris
PERELACHAISE,Père Lachaise,655072.126,6862687.687000001,4882748,Paris
PERNETY,Pernéty,649943.7106,6859536.3792,3310917,Paris
PHILIPPEAUGUSTE,Philippe Auguste,655224.2451,6862220.8679,1922463,Paris
PICPUS,Picpus,656061.0276,6860723.8589,1404477,Paris
PIERREETMARIECURIE,Pierre Curie,654272.5743,6857498.469,1608512,Ivry
PIGALLE,Pigalle,651399.4773,6864912.0033,5949716,Paris
PLACEDECLICHY,Place de Clichy,650707.2389,6865054.0589999985,8769157,Paris
PLACEDESFETES,Place des Fêtes,655478.7954,6864274.2381,2987172,Paris
PLACEDITALIE,Place d'Italie,652693.7822,6859183.7267,11508361,Paris
PLACEMONGE,Place Monge (Jardin des Plantes),652458.3099,6860508.2454,3134478,Paris
PLAISANCE,Plaisance,649651.2929,6859304.204,5091432,Paris
POINTEDULAC,Créteil-Pointe du Lac,660647.1686,6852201.7355,2924153,Créteil
POISSONNIERE,Poissonnière,652274.7082,6864331.6119,3704783,Paris
PONTDELEVALLOISBECON,Pont de Levallois-Bécon,647199.4721,6866664.741,5374925,Levallois-Perret
PONTDENEUILLY,Pont de Neuilly (Avenue de Madrid),645771.287,6865219.7485,7127658,Neuilly Sur Seine
PONTDESEVRES,Pont de Sèvres,643532.6156,6859121.418,5332900,Boulogne Billancourt
PONTMARIE,Pont Marie (Cité des Arts),652830.3951,6861695.9829,1769299,Paris
PONTNEUF,Pont Neuf (La Monnaie),651739.5237,6862258.5537,1613273,Paris
PORTEDAUPHINE,Porte Dauphine,646972.7506,6863736.1283,3119154,Paris
PORTEDAUTEUIL,Porte d'Auteuil,645529.7326,6861136.8657,652631,Paris
PORTEDEBAGNOLET,Porte de Bagnolet,656572.0977,6862892.6803,4347994,Paris
PORTEDECHAMPERRET,Porte de Champerret,648123.8929,6865318.8375,3431010,Paris
PORTEDECHARENTON,Porte de Charenton,656062.6699,6859400.7586,2262053,Paris
PORTEDECHOISY,Porte de Choisy,653340.9723,6857944.6053,2943551,Paris
PORTEDECLICHY,Porte de Clichy,649685.9141,6866245.7339,4410686,Paris
PORTEDECLIGNANCOURT,Porte de Clignancourt,651967.2227,6866576.6415,8050206,Paris
PORTEDELACHAPELLE,Porte de la Chapelle,653041.8705,6866550.3731,2673189,Paris
PORTEDELAVILLETTE,Porte de la Villette,654948.2026,6866551.3039,4162037,Paris
PORTEDEMONTREUIL,Porte de Montreuil,656753.3202,6861661.8646,4735534,Paris
PORTEDEPANTIN,Porte de Pantin,655424.858,6865559.4508,5377661,Paris
PORTEDESLILAS,Porte des Lilas,656468.8342,6864291.7286,3868367,Paris
PORTEDESTCLOUD,Porte de Saint-Cloud,645473.5838,6860024.2597,5386794,Paris
PORTEDESTOUEN,Porte de Saint-Ouen,650801.1471,6866583.3841,3764392,Paris
PORTEDEVANVES,Porte de Vanves,649016.968,6858861.6144,4907106,Paris
PORTEDEVERSAILLES,Porte de Versailles,647736.0144,6859390.482999999,6388506,Paris
PORTEDEVINCENNES,Porte de Vincennes,656712.3513,6860952.126,7164764,Paris
PORTEDITALIE,Porte d'Italie,652985.99,6857874.877,2444086,Paris
PORTEDIVRY,Porte d'Ivry,653691.6801,6858106.3134,2045606,Paris
PORTEDOREE,Porte Dorée,656352.887,6859578.9511,2850341,Paris
PORTEDORLEANS,Porte d'Orléans,650484.043,6858361.4233,6669356,Paris
PORTEMAILLOT,Porte Maillot,647424.8025,6864408.6314,8181976,Paris
PRESTGERVAIS,Pré Saint-Gervais,655918.6953,6864609.5836,389255,Paris
PYRAMIDES,Pyramides,651166.726,6863089.243,5277037,Paris
PYRENEES,Pyrénées,654913.7648,6863937.4476,3354023,Paris
QUAIDELAGARE,Quai de la Gare,653965.0895,6859848.7239999985,3252321,Paris
QUAIDELARAPEE,Quai de la Rapée,653463.2581,6860905.8001,1273466,Paris
QUATRESEPTEMBRE,Quatre Septembre,651308.6039,6863488.8496,2038075,Paris
RAMBUTEAU,Rambuteau,652568.2852,6862546.5161,4074086,Paris
RANELAGH,Ranelagh,646444.7925,6861963.8329,2470025,Paris
RASPAIL,Raspail,650878.8981,6860087.4642,1995962,Paris
REAUMURSEBASTOPOL,Réaumur Sébastopol,652468.2482,6863118.3797,5669490,Paris
RENNES,Rennes,650669.7472,6861144.9041,1288804,Paris
REPUBLIQUE,République,653331.8161,6863240.6969,18327920,Paris
REUILLYDIDEROT,Reuilly-Diderot,654966.0143,6860981.5925,6037085,Paris
RICHARDLENOIR,Richard Lenoir,653918.3594,6862387.573,2172035,Paris
RICHELIEUDROUOT,Richelieu-Drouot,651516.8991,6863731.8941,5340869,Paris
RIQUET,Riquet,654111.394,6865543.4601,2434730,Paris
ROBESPIERRE,Robespierre,657661.786,6861897.8455,4702422,Montreuil
ROME,Rome,650224.5081,6864903.8302,2992054,Paris
RUEDELAPOMPE,Rue de la Pompe (Av. G. Mandel),647040.6510000001,6862902.3761,3241496,Paris
RUEDESBOULETS,Rue des Boulets,655193.1503,6861537.1145,2654910,Paris
RUEDUBAC,Rue du Bac,650524.6020000001,6861934.8835,2389323,Paris
RUESTMAUR,Saint-Maur,654573.8244,6862850.872,3065770,Paris
SEGUR,Ségur,649172.8635,6861003.0844,1605135,Paris
SENTIER,Sentier,652135.2075,6863228.8943,3507732,Paris
SEVRESBABYLONE,Sèvres-Babylone,650577.4091,6861449.7629999975,5430593,Paris
SEVRESLECOURBE,Sèvres-Lecourbe,649327.7178,6860841.6954,2431794,Paris
SIMPLON,Simplon,652177.9554,6866190.0425,2756818,Paris
SOLFERINO,Solférino,650339.7683,6862265.6354,2130716,Paris
STALINGRAD,Stalingrad,653755.0955,6865114.557999997,7342659,Paris
STAMBROISE,Saint-Ambroise,654126.2223,6862513.3167,3037654,Paris
STAUGUSTIN,Saint-Augustin,650223.5598,6864051.0893,3853378,Paris
STDENISPORTEDEPARIS,Saint-Denis-Porte de Paris,652816.9646,6870187.543,4503548,Saint Denis
STDENISUNIVERSITE,Saint-Denis-Université,653454.4183,6871951.6549,4993498,Saint Denis
STFARGEAU,Saint-Fargeau,656320.4457,6863728.6864,737146,Paris
STFRANCOISXAVIER,Saint-François-Xavier,649691.21,6861485.1179,1756612,Paris
STGEORGES,Saint-Georges,651417.8007,6864470.9482,1258381,Paris
STGERMAINDESPRES,Saint-Germain-des-Prés,651114.5388,6861726.1589,4191939,Paris
STJACQUES,Saint-Jacques,651341.5779,6859409.3229,2324865,Paris
STLAZARE,Saint-Lazare,650436.9779,6864183.3906,46679970,Paris
STMANDE,Saint-Mandé,657397.0779,6860857.9279999975,6314385,Saint Mandé
STMARCEL,Saint-Marcel,653095.9282,6860009.3865,2286932,Paris
STMICHEL,Saint-Michel,651811.8161,6861659.0529,6713126,Paris
STPAUL,Saint-Paul (le Marais),653110.2705,6861878.3873,6443129,Paris
STPHILIPPEDUROULE,Saint-Philippe du Roule,649390.9483,6863820.7798,3076501,Paris
STPLACIDE,Saint-Placide,650595.6493,6860969.8856,3376988,Paris
STRASBOURGSTDENIS,Strasbourg-Saint-Denis,652641.5551,6863467.2926,9258372,Paris
STSEBASTIENFROISSART,Saint-Sébastien-Froissart,653574.4612,6862534.3482,1731645,Paris
STSULPICE,Saint-Sulpice,650927.7173,6861500.1493,2350813,Paris
SULLYMORLAND,Sully-Morland,653182.1536,6861433.1715,1550640,Paris
TELEGRAPHE,Télégraphe,655909.0691,6864106.8825,2425536,Paris
TEMPLE,Temple,653163.4882,6863150.7891,1258217,Paris
TERNES,Ternes,648536.2024,6864445.5141,3627447,Paris
TOLBIAC,Tolbiac,652811.918,6858677.1935,3451768,Paris
TRINITEDESTIENNEDORVES,Trinité d'Estienne d'Orves,651045.3002,6864239.7516,2133878,Paris
TROCADERO,Trocadéro,647636.2013,6862795.8336,9381362,Paris
TUILERIES,Tuileries,650857.0163,6862909.8123,2682811,Paris
VANEAU,Vaneau,650191.3229,6861188.8641,1067512,Paris
VARENNE,Varenne,649744.034,6862088.4335,1410421,Paris
VAUGIRARD,Vaugirard (Adolphe Chériou),648703.4994,6860167.7255,3663937,Paris
VAVIN,Vavin,650753.8774,6860450.3764,2182742,Paris
VICTORHUGO,Victor Hugo,647576.3599,6863545.1478,4005276,Paris
VILLEJUIFLEOLAGRANGE,Villejuif-Léo Lagrange,653284.8753,6856256.2281,2799771,Villejuif
VILLEJUIFLOUISARAGON,Villejuif-Louis Aragon,653552.4584,6854349.8692,7479307,Villejuif
VILLEJUIFPAULVAILLANTCOUTURIER,Villejuif-Paul Vaillant-Couturier,653594.5882,6855341.3986,2470026,Villejuif
VILLIERS,Villiers,649776.2512,6864787.9506,6237308,Paris
VOLONTAIRES,Volontaires,649207.5446,6860384.4512,2342480,Paris
VOLTAIRE,Voltaire (Léon Blum),654562.2299,6862113.3974,5195333,Paris
WAGRAM,Wagram,649008.6628,6865090.3639,2565333,Paris
